Alepocephalus agassizii
Ammodytes
Anarhichas denticulatus
Anarhichas minor
Argentina silus
Bathyrajanicauda
Bathylagus euryops
Clupea harengus
Cyclopterus lumpus
Centroscyllium fabricii
Boreogadus saida
Gadus morhua
Melanogrammus aeglefinus
Micromesistius poutassou
Gaidropsarus argentatus
Gaidropsarus ensis
Cyclothone microdon
Sigmops bathyphilus
Paraliparis
Molva dypterygia
Coryphaenoides guentheri
Coryphaenoides rupestris
Macrourus berglax
Nezumia bairdii
Trachyrincus murrayi 
Antimora rostrata
Lepidion lepidion
Benthosema glaciale
Lampanyctus crocodilus
Lampanyctus intricarius
Myctophum punctatum
Notoscopelus kroyeri
Notacanthus chemnitzii
Polyacanthonotus rissoanus
Scopelosaurus lepidus
Oneirodidae 
Mallotus villosus
Arctozenus risso
Magnisudis atlantica
Maulisia mauli
Hippoglossoides platessoides
Hippoglossus hippoglossus §
Reinhardtius hippoglossoides
Cottunculus thomsonii
Amblyraja radiata
Rajella fyllae
Sebastes norvegicus
Sebastes mentella
Serrivomer beanii
Somniosus microcephalus
Borostomias antarcticus
Chauliodus sloani
Stomias boa
Synaphobranchus kaupii
